,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
712,LINK-012709,Manhattan,40.73728,-73.992826,Live,08/30/2017,08/05/2017,corner,233
713,LINK-014643,Manhattan,40.80595,-73.950754,Live,01/09/2017,10/22/2016,corner,42
714,LINK-012376,Manhattan,40.766216,-73.969979,Live,03/28/2019,06/23/2018,block,18
715,LINK-010745,Manhattan,40.768374,-73.955362,Live,01/03/2018,10/16/2017,corner,46
716,LINK-021386,Queens,40.69374,-73.852557,Live,02/26/2018,10/14/2017,corner,1
717,LINK-000850,Manhattan,40.772358,-73.95854,Live,03/24/2016,03/05/2016,corner,45
718,LINK-001359,Queens,40.75391,-73.900094,Live,07/27/2018,06/14/2018,corner,2
719,LINK-010720,Manhattan,40.727115,-74.003502,Live,06/18/2018,04/14/2018,corner,112
720,LINK-000979,Manhattan,40.785068,-73.978633,Live,08/30/2017,12/18/2016,corner,53
721,LINK-008838,Manhattan,40.745126,-73.984639,Live,11/21/2016,10/01/2016,corner,154
722,LINK-000975,Manhattan,40.784712,-73.979564,Live,11/21/2016,11/05/2016,corner,42
723,LINK-010336,Queens,40.760473,-73.922019,Live,05/23/2017,03/25/2017,corner,120
724,LINK-002345,Brooklyn,40.678654,-73.916507,Live,02/24/2017,11/11/2016,corner,10
725,LINK-001080,Brooklyn,40.658911,-73.960426,Live,05/11/2018,02/27/2018,corner,80
726,LINK-006028,Manhattan,40.799659,-73.938923,Live,05/17/2018,04/10/2018,corner,45
727,LINK-012572,Manhattan,40.743659,-73.976843,Live,01/18/2019,10/20/2017,corner,110
728,LINK-013362,Manhattan,40.820406,-73.940304,Live,10/03/2017,08/13/2017,corner,12
729,LINK-000484,Manhattan,40.766638,-73.983092,Live,07/07/2016,03/10/2016,corner,186
730,LINK-000959,Manhattan,40.781853,-73.980836,Live,06/27/2016,05/25/2016,corner,77
731,LINK-000447,Manhattan,40.739447,-74.0026,Live,04/15/2016,03/11/2016,corner,100
732,LINK-019900,Queens,40.740937,-73.879925,Live,09/07/2017,08/05/2017,corner,10
733,LINK-013368,Manhattan,40.79357,-73.943064,Live,02/22/2018,12/19/2017,corner,5
734,LINK-000357,Manhattan,40.759756,-73.968048,Live,03/15/2016,02/28/2016,corner,112
735,LINK-000351,Manhattan,40.758377,-73.968759,Live,03/18/2016,02/28/2016,corner,70
736,LINK-020581,Bronx,40.846477,-73.896393,Live,07/26/2018,06/20/2018,corner,0
737,LINK-005931,Manhattan,40.805516,-73.966052,Live,07/20/2016,07/02/2016,corner,19
738,LINK-011003,Manhattan,40.747419,-73.993363,Live,01/03/2018,10/15/2017,corner,173
739,LINK-000283,Manhattan,40.743035,-73.980242,Live,10/06/2017,06/30/2017,corner,244
740,LINK-000946,Manhattan,40.779096,-73.982054,Live,05/16/2016,04/22/2016,corner,50
741,LINK-013095,Brooklyn,40.674266,-73.950234,Live,03/03/2017,02/17/2017,corner,60
742,LINK-014639,Manhattan,40.795399,-73.969254,Live,11/23/2016,10/22/2016,corner,79
743,LINK-013970,Manhattan,40.732247,-73.985132,Live,10/25/2016,10/01/2016,corner,78
744,LINK-021512,Brooklyn,40.672242,-73.983627,Live,10/27/2017,07/27/2017,corner,42
745,LINK-020604,Bronx,40.812557,-73.926244,Live,07/02/2018,01/14/2018,block,25
746,LINK-013872,Manhattan,40.749153,-73.991801,Live,02/07/2017,11/12/2016,corner,101
747,LINK-012560,Manhattan,40.723404,-74.008084,Live,11/15/2017,08/05/2017,corner,57
748,LINK-021399,Queens,40.698095,-73.834847,Live,09/01/2017,07/22/2017,corner,7
749,LINK-000854,Manhattan,40.772815,-73.95822,Live,05/16/2016,04/16/2016,corner,70
750,LINK-000991,Manhattan,40.786403,-73.9783,Live,04/25/2016,03/29/2016,corner,41
751,LINK-000114,Manhattan,40.743203,-73.989206,Live,12/05/2016,10/29/2016,corner,154
752,LINK-013489,Brooklyn,40.678268,-73.949798,Live,03/01/2017,02/03/2017,corner,71
753,LINK-000955,Manhattan,40.780993,-73.981523,Live,05/12/2016,04/06/2016,corner,24
754,LINK-000483,Manhattan,40.745924,-73.997757,Live,04/07/2016,03/16/2016,corner,74
755,LINK-000360,Manhattan,40.759632,-73.967828,Live,03/24/2016,02/28/2016,corner,111
756,LINK-002668,Brooklyn,40.667305,-73.987979,Live,04/03/2017,03/06/2017,corner,91
757,LINK-005221,Manhattan,40.825947,-73.946953,Live,07/21/2016,07/14/2016,corner,57
758,LINK-002069,Manhattan,40.829809,-73.948201,Live,04/25/2018,02/25/2018,corner,20
759,LINK-013971,Manhattan,40.730833,-73.983098,Live,06/14/2017,04/02/2017,corner,85
760,LINK-021527,Brooklyn,40.655438,-74.00305,Live,08/22/2017,07/01/2017,corner,11
761,LINK-012677,Manhattan,40.744984,-73.982723,Live,02/04/2019,04/14/2018,corner,119
762,LINK-022138,Brooklyn,40.650962,-73.947834,Live,10/30/2017,09/17/2017,corner,19
763,LINK-010786,Manhattan,40.793402,-73.967005,Installed,,04/30/2018,corner,145
764,LINK-020928,Queens,40.752724,-73.927183,Live,04/24/2018,03/09/2018,corner,12
765,LINK-020764,Brooklyn,40.722328,-73.949671,Ready for Activation,,06/30/2017,corner,56
766,LINK-000985,Manhattan,40.785813,-73.978293,Live,05/05/2016,04/06/2016,corner,50
767,LINK-000309,Manhattan,40.749341,-73.975186,Live,10/26/2016,09/17/2016,corner,46
768,LINK-002076,Manhattan,40.834722,-73.944176,Live,07/20/2017,06/10/2017,corner,21
769,LINK-012545,Manhattan,40.789622,-73.970024,Installed,,04/30/2018,corner,97
770,LINK-014263,Manhattan,40.716355,-73.991198,Live,01/09/2017,11/13/2016,corner,14
771,LINK-011415,Queens,40.755764,-73.912336,Live,05/18/2017,04/22/2017,corner,27
772,LINK-000205,Manhattan,40.738667,-73.999476,Live,08/01/2018,04/07/2018,corner,143
773,LINK-000978,Manhattan,40.785021,-73.978807,Live,05/23/2016,04/22/2016,corner,79
774,LINK-010287,Bronx,40.854346,-73.910218,Live,01/17/2017,12/06/2016,corner,0
775,LINK-010447,Brooklyn,40.701419,-73.942908,Live,08/02/2017,03/06/2017,corner,12
776,LINK-021520,Brooklyn,40.664406,-73.993715,Live,08/15/2017,07/15/2017,corner,25
777,LINK-013840,Manhattan,40.738109,-73.996153,Live,06/07/2018,03/18/2018,corner,172
778,LINK-021123,Brooklyn,40.714191,-73.951552,Live,06/13/2018,03/04/2018,corner,27
779,LINK-000361,Manhattan,40.760135,-73.967774,Live,03/18/2016,02/27/2016,corner,145
780,LINK-020768,Brooklyn,40.719511,-73.946853,Live,08/15/2017,06/30/2017,corner,10
781,LINK-021511,Brooklyn,40.672679,-73.983161,Live,09/11/2017,07/27/2017,corner,12
782,LINK-012457,Manhattan,40.767364,-73.968865,Live,04/17/2017,01/21/2017,corner,89
783,LINK-002457,Brooklyn,40.670318,-73.958172,Live,02/08/2017,12/22/2016,corner,24
784,LINK-011500,Bronx,40.813128,-73.908991,Live,06/25/2018,05/17/2018,corner,12
785,LINK-000752,Manhattan,40.759712,-73.974008,Live,05/11/2017,03/18/2017,corner,102
786,LINK-021922,Brooklyn,40.684625,-73.868975,Live,11/21/2017,09/29/2017,corner,0
787,LINK-022137,Brooklyn,40.650947,-73.945545,Live,10/30/2017,09/17/2017,corner,21
788,LINK-001752,Staten Island,40.590983,-74.100732,Live,02/28/2017,01/31/2017,corner,1
789,LINK-000036,Brooklyn,40.678453,-73.973253,Live,03/08/2018,11/03/2017,corner,173
790,LINK-000184,Manhattan,40.748539,-73.988218,Live,06/19/2017,04/01/2017,corner,131
791,LINK-005407,Staten Island,40.563843,-74.116075,Live,02/28/2017,12/20/2016,corner,1
792,LINK-003875,Manhattan,40.797826,-73.967748,Live,10/10/2016,08/01/2016,corner,105
793,LINK-010341,Manhattan,40.809437,-73.95184,Live,10/14/2016,09/17/2016,corner,57
794,LINK-000189,Manhattan,40.734141,-73.989412,Live,11/10/2016,10/22/2016,corner,179
795,LINK-007136,Queens,40.742919,-73.952127,Live,03/24/2017,03/04/2017,corner,18
796,LINK-021536,Queens,40.706151,-73.831579,Live,02/21/2018,10/14/2017,corner,29
797,LINK-019371,Brooklyn,40.662438,-73.950605,Live,06/14/2017,05/06/2017,corner,26
798,LINK-008203,Manhattan,40.727978,-74.006987,Live,05/10/2017,03/11/2017,corner,15
799,LINK-010726,Manhattan,40.71904,-73.996631,Live,02/13/2019,05/24/2018,corner,147
800,LINK-014179,Manhattan,40.747391,-73.986183,Live,02/16/2018,01/21/2017,corner,102
